Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Curtailed
01-05 13:00,63.3965,850.537,850.537,False
01-05 14:00,37.9883,850.537,850.537,False
01-05 15:00,31.208,850.537,850.537,False
01-05 16:00,5.760140000000001,850.537,850.537,False
01-05 17:00,39.6505,850.537,850.537,False
01-05 18:00,73.1088,850.537,850.537,False
01-05 19:00,110.054,850.537,850.537,False
01-05 20:00,400.979,850.537,850.537,False
01-05 21:00,556.639,850.537,850.537,False
01-05 22:00,630.333,850.5370000000001,850.5370000000001,False
01-05 23:00,830.018,850.537,850.537,False
01-06 00:00,830.692,850.537,850.537,False
01-06 01:00,830.692,781.5401440735332,781.5401440735332,False
01-06 02:00,830.692,772.2238267017428,772.2238267017428,False
01-06 03:00,830.692,762.3731273880597,762.3731273880597,False
01-06 04:00,830.692,767.5994032905297,767.5994032905297,False
01-06 05:00,830.692,775.8932401608445,775.8932401608445,False
01-06 06:00,830.692,787.3202467045224,787.3202467045224,False
01-06 07:00,830.692,789.8282535611065,789.8282535611065,False
01-06 08:00,830.692,790.3728834333202,790.3728834333202,False
01-06 09:00,830.692,752.5300804409475,752.5300804409475,False
01-06 10:00,830.692,786.9483968632438,786.9483968632438,False
01-06 11:00,830.692,779.6243877096528,779.6243877096528,False
01-06 12:00,830.692,772.2173981285988,772.2173981285988,False
01-06 13:00,830.692,767.9448350471749,767.9448350471749,False
01-06 14:00,830.692,763.1071225197144,763.1071225197144,False
01-06 15:00,830.692,850.537,850.537,False
01-06 16:00,830.692,684.5667728150926,684.5667728150926,False
01-06 17:00,408.466,0.0,0.0,False
01-06 18:00,830.304,683.3746057575618,683.3746057575618,False
01-06 19:00,485.87,765.9201431229022,765.9201431229022,False
01-06 20:00,587.531,764.4854830419077,764.4854830419077,False
01-06 21:00,830.692,752.9976678475232,752.9976678475232,False
01-06 22:00,830.692,721.542268846052,721.542268846052,False
01-06 23:00,830.692,703.5949144482553,703.5949144482553,False
01-07 00:00,830.692,711.7727598212911,711.7727598212911,False
01-07 01:00,830.692,686.2027707401253,686.2027707401253,False
01-07 02:00,830.692,680.6866604914088,680.6866604914088,False
01-07 03:00,830.692,688.5673479716083,688.5673479716083,False
01-07 04:00,830.692,693.7872467080613,693.7872467080613,False
01-07 05:00,830.692,715.6573166883178,715.6573166883178,False
01-07 06:00,830.692,735.2760271246765,735.2760271246765,False
01-07 07:00,830.692,747.5527002351098,747.5527002351098,False
01-07 08:00,830.692,749.398405837113,749.398405837113,False
01-07 09:00,830.692,752.0686584126398,752.0686584126398,False
01-07 10:00,830.692,752.6452833371785,752.6452833371785,False
01-07 11:00,830.692,751.5083927797443,751.5083927797443,False
01-07 12:00,830.692,751.2721108950229,751.2721108950229,False
01-07 13:00,830.692,745.2225929946928,745.2225929946928,False
01-07 14:00,830.692,747.2526178127515,747.2526178127515,False
01-07 15:00,830.692,752.9427819874562,752.9427819874562,False
01-07 16:00,830.692,759.5107323615807,759.5107323615807,False
01-07 17:00,830.692,761.2429787875525,761.2429787875525,False
01-07 18:00,830.692,756.8982751300729,756.8982751300729,False
