Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Avoided Emissions (lbs CO2),Curtailed
01-15 10:00,0.0,850.5369999999999,850.5369999999999,0.0,False
01-15 11:00,0.0,850.5369999999999,850.5369999999999,0.0,False
01-15 12:00,0.0,850.5370000000001,850.5370000000001,0.0,False
01-15 13:00,0.0,850.537,850.537,0.0,False
01-15 14:00,0.8230599999999999,850.5370000000001,850.5370000000001,700.04298322,False
01-15 15:00,62.128099999999996,850.537,850.537,52842.2477897,False
01-15 16:00,139.016,850.5369999999999,850.5369999999999,118238.25159199999,False
01-15 17:00,582.85,850.537,850.537,495735.49045000004,False
01-15 18:00,627.311,850.537,850.537,533551.2160070001,False
01-15 19:00,502.311,850.5369999999999,850.5369999999999,427234.09100699995,False
01-15 20:00,672.82,850.537,850.537,572258.30434,False
01-15 21:00,793.566,850.5370000000001,850.5370000000001,674957.2449420001,False
01-15 22:00,616.937,0.0,0,36443.62886727387,False
01-15 23:00,329.361,850.5369999999999,850.5369999999999,280133.71685699996,False
01-16 00:00,211.412,850.537,850.537,179813.728244,False
01-16 01:00,206.131,691.4496175016602,691.4496175016602,142529.2011052347,False
01-16 02:00,136.262,850.5369999999999,850.5369999999999,115895.87269399999,False
01-16 03:00,284.59,850.537,850.537,242054.32483,False
01-16 04:00,152.111,850.5369999999999,850.5369999999999,129376.03360699998,False
01-16 05:00,221.088,649.6578974807559,649.6578974807559,143631.56523822536,False
01-16 06:00,19.4666,654.967876419157,654.967876419157,12749.997663101163,False
01-16 07:00,27.1017,672.16873268211,672.16873268211,18216.91534253074,False
01-16 08:00,52.168,588.8606840827941,588.8606840827941,30719.684167231204,False
01-16 09:00,37.1622,669.3851387406387,669.3851387406387,24875.82440290736,False
01-16 10:00,115.255,617.1124543832698,617.1124543832698,71125.29592994375,False
01-16 11:00,54.7124,680.4532309508925,680.4532309508925,37229.22935307761,False
01-16 12:00,25.447,628.4057878587282,628.4057878587282,15991.042083641056,False
01-16 13:00,0.794648,701.365607029722,701.365607029722,557.3387768949545,False
01-16 14:00,0.0,655.217336051268,655.217336051268,0.0,False
01-16 15:00,43.402300000000004,610.4223643209842,610.4223643209842,26493.734582968656,False
01-16 16:00,112.249,726.8182589014629,726.8182589014629,81584.6227434303,False
01-16 17:00,144.429,745.7551595213113,745.7551595213113,107708.67193450347,False
01-16 18:00,20.4462,756.5372031709204,756.5372031709204,15468.310963473274,False
01-16 19:00,21.104,753.0724171011896,753.0724171011896,15892.840290503504,False
01-16 20:00,26.6878,753.1563533630717,753.1563533630717,20100.086127282986,False
01-16 21:00,46.8538,759.9219594921208,759.9219594921208,35605.23150565193,False
01-16 22:00,125.927,765.7575083485709,765.7575083485709,96429.5457538105,False
01-16 23:00,53.8585,0.0,0.0,0.0,False
01-17 00:00,58.6188,850.537,850.537,49857.4582956,False
01-17 01:00,56.5615,850.537,850.537,48107.6485255,False
